Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
1,Duke,ACC,120.2,91.4,0.959,40.60%,35.60%,93.6,1.14,0
,,,2,3,,,,,,
2,Houston,B12,117.1,89.2,0.9581,43.10%,41.90%,86.3,1.34,21
,,,15,1,,,,,,
3,Michigan,B10,119,93,0.9446,38.70%,35.50%,79.2,2.09,259
,,,6,8,,,,,,
4,Purdue,B10,121.9,95.2,0.9444,69.70%,79.20%,65.6,2.04,51
,,,1,26,,,,,,
5,Florida,SEC,117.7,92.3,0.9425,40.20%,37.40%,60,1.44,167
,,,13,6,,,,,,
6,BYU,B12,120.1,94.8,0.9385,37.50%,37.90%,54,1.75,131
,,,3,21,,,,,,
7,Illinois,B10,118.2,93.8,0.9339,45.00%,41.20%,76.1,1.97,124
,,,9,12,,,,,,
8,St. John's,BE,118,93.8,0.9332,24.20%,22.30%,79.4,2.17,411
,,,10,11,,,,,,
9,UCLA,B10,118.2,94,0.933,43.00%,44.30%,74.8,2.28,208
,,,8,15,,,,,,
10,Connecticut,BE,118.9,95,0.9296,56.20%,53.80%,84.4,2.05,162
,,,7,23,,,,,,
11,Louisville,ACC,119.1,95.3,0.9287,31.90%,23.50%,37.2,2.12,245
,,,5,27,,,,,,
12,Arizona,B12,117.2,93.9,0.928,41.10%,34.40%,74.2,1.41,22
,,,14,14,,,,,,
13,Tennessee,SEC,114,91.4,0.9275,22.50%,17.30%,61.1,1.91,182
,,,40,2,,,,,,
14,North Carolina,ACC,116.6,93.8,0.9245,27.00%,22.80%,77.8,1.39,221
,,,17,10,,,,,,
15,Kentucky,SEC,115.6,93,0.9241,30.60%,32.30%,87.6,1.59,265
,,,25,9,,,,,,
16,Arkansas,SEC,115.9,93.9,0.9186,47.60%,42.70%,79.9,1.36,122
,,,22,13,,,,,,
17,Kansas,B12,113.5,92,0.9182,8.60%,6.70%,63.2,1.6,181
,,,44,5,,,,,,
18,Alabama,SEC,116.4,94.7,0.9146,36.10%,30.40%,76.6,1.25,93
,,,19,20,,,,,,
19,Ohio St.,B10,119.2,97.1,0.9137,49.80%,54.80%,68.9,2.09,171
,,,4,45,,,,,,
20,Iowa St.,B12,112.3,91.6,0.912,43.00%,40.90%,50,2.04,124
,,,54,4,,,,,,
21,Michigan St.,B10,113.5,92.8,0.9104,41.70%,38.40%,72.5,1.69,54
,,,46,7,,,,,,
22,Vanderbilt,SEC,117.9,96.4,0.9103,35.60%,29.60%,49.9,2.55,396
,,,12,37,,,,,,
23,Creighton,BE,117.9,96.5,0.9093,36.70%,27.30%,62.2,2,267
,,,11,38,,,,,,
24,USC,B10,115.7,95.1,0.9055,0.00%,0.00%,43.8,1.88,469
,,,24,24,,,,,,
25,Gonzaga,WCC,116.6,96.2,0.9018,26.60%,32.40%,45.9,2.45,193
,,,16,34,,,,,,
26,Auburn,SEC,115,95.2,0.8976,14.00%,16.30%,47.5,1.57,309
,,,28,25,,,,,,
27,Oregon,B10,114.3,94.6,0.8975,39.40%,43.50%,79.3,1.89,123
,,,36,19,,,,,,
28,Texas Tech,B12,115.7,96.3,0.8923,27.80%,30.50%,43.1,1.68,162
,,,23,35,,,,,,
29,Missouri,SEC,114.8,95.7,0.8905,35.90%,39.40%,82.4,2.01,147
,,,29,32,,,,,,
30,Wisconsin,B10,114.1,95.6,0.8838,32.40%,34.00%,37.4,1.78,165
,,,39,31,,,,,,
31,Oklahoma,SEC,115.2,96.6,0.8833,11.10%,9.80%,64,1.86,262
,,,27,40,,,,,,
32,Cincinnati,B12,112.5,94.4,0.8828,25.70%,33.70%,57.1,2.3,322
,,,51,17,,,,,,
33,Georgia,SEC,113.5,95.6,0.8787,31.40%,26.60%,66.5,1.5,231
,,,45,29,,,,,,
34,Baylor,B12,114.5,96.5,0.877,0.00%,0.00%,39.6,2.25,353
,,,32,39,,,,,,
35,Virginia,ACC,115.9,97.8,0.8758,0.00%,0.00%,45.9,2.1,400
,,,21,58,,,,,,
36,Texas,SEC,114.1,96.3,0.8757,35.40%,30.00%,63.6,2.37,215
,,,38,36,,,,,,
37,Texas A&M,SEC,114.6,96.8,0.8749,0.70%,0.40%,50.3,2.67,440
,,,31,41,,,,,,
38,Iowa,B10,115.6,97.7,0.8737,6.80%,1.80%,29,2.06,351
,,,26,56,,,,,,
39,N.C. State,ACC,116.5,98.6,0.8713,3.40%,4.10%,66.1,2.48,499
,,,18,68,,,,,,
40,Mississippi St.,SEC,114.4,96.9,0.8708,29.10%,29.00%,62.3,2.06,204
,,,33,42,,,,,,
41,Maryland,B10,111.4,94.5,0.8691,4.60%,3.80%,57.2,2.09,320
,,,59,18,,,,,,
42,Indiana,B10,114.3,97.2,0.8659,0.00%,0.00%,24.6,2.72,505
,,,35,46,,,,,,
43,Nebraska,B10,113.7,97.7,0.8519,36.00%,28.80%,42.1,2.67,198
,,,41,55,,,,,,
44,San Diego St.,MWC,109.6,94.3,0.8483,61.90%,59.60%,38.4,2.28,163
,,,76,16,,,,,,
45,SMU,ACC,114.3,98.5,0.846,50.80%,52.80%,38.2,2.35,203
,,,37,65,,,,,,
46,Oklahoma St.,B12,113,97.5,0.844,20.90%,21.00%,50.2,1.97,449
,,,48,52,,,,,,
47,Mississippi,SEC,112.7,97.4,0.8424,15.30%,15.30%,56.4,1.89,268
,,,49,49,,,,,,
48,VCU,A10,109.4,94.9,0.8377,23.90%,17.40%,45.9,2.04,243
,,,77,22,,,,,,
49,Villanova,BE,112.5,97.6,0.8374,12.80%,8.90%,61.8,1.86,221
,,,52,54,,,,,,
50,Washington,B10,116.1,101,0.8324,21.70%,21.10%,56.6,1.91,545
,,,20,108,,,,,,
Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
51,Marquette,BE,109.9,95.8,0.8299,53.80%,43.90%,64.3,1.85,0
,,,72,33,,,,,,
52,Boise St.,MWC,111.9,97.5,0.8296,47.20%,40.00%,36.6,2.06,117
,,,55,53,,,,,,
53,Clemson,ACC,109.7,95.6,0.8294,10.90%,6.70%,41.5,2.44,307
